zip,total,black_total,white_total,hispanic_total,search_total,summons_total,frisked_total,search_black,search_white,search_hispanic,summons_black,summons_white,summons_hispanic,frisked_black,frisked_white,frisked_hispanic
02119,2560,2161,229,122,371,79,765,289,35,26,73,5,4,628,72,44
02121,2003,1717,136,89,304,25,753,254,21,23,21,3,5,667,34,36
02124,1937,1616,198,77,305,20,749,233,50,17,18,1,0,624,83,25
,1537,985,202,76,158,8,441,107,32,11,4,3,1,330,71,30
02118,1249,837,316,205,91,5,291,48,34,17,0,4,1,181,82,50
02125,1145,795,220,78,163,9,391,108,32,14,1,5,0,282,67,26
00000,1018,797,153,69,108,15,275,77,23,11,4,11,1,217,32,21
02120,993,777,113,107,92,2,214,73,9,9,2,0,0,159,34,33
02130,903,625,210,92,129,20,283,81,39,22,13,7,4,168,95,46
02122,699,473,137,32,55,8,185,37,9,2,7,1,2,128,31,9
02111,688,340,303,51,292,203,273,161,113,26,120,76,20,150,101,23
02128,586,80,440,74,83,14,190,19,54,27,3,10,4,43,123,46
02126,540,469,29,16,51,7,174,44,4,3,7,0,0,158,8,2
02127,522,156,330,38,52,0,115,20,30,4,0,0,0,47,63,9
02116,377,179,179,33,110,40,115,49,59,6,25,14,4,44,66,10
02108,365,109,225,22,122,57,101,46,67,8,28,26,1,43,51,6
02129,150,50,94,6,59,18,61,19,38,1,4,14,1,23,37,1
02115,146,111,29,16,23,1,44,15,4,2,0,1,0,31,11,7
02136,140,92,38,15,12,4,36,5,6,3,0,4,1,24,11,4
02131,135,81,45,20,11,4,35,6,5,4,2,2,2,22,11,12
02114,115,34,79,1,22,6,23,4,17,0,1,5,0,6,16,0
02135,112,41,59,8,18,3,40,7,9,1,1,2,0,16,20,2
02215,84,42,37,3,10,0,21,4,6,1,0,0,0,11,8,2
02132,80,25,51,5,4,1,14,3,1,1,1,0,1,7,7,2
02110,76,19,54,2,30,6,31,9,21,2,1,4,0,9,21,1
02134,54,14,31,2,5,0,25,1,4,0,0,0,0,8,13,2
02109,38,17,20,2,8,4,14,3,5,0,4,0,0,6,8,0
02113,18,4,14,0,5,1,6,0,5,0,0,1,0,1,5,0
02199,16,6,3,0,7,0,9,2,2,0,0,0,0,3,3,0
02210,10,1,8,0,1,0,3,0,1,0,0,0,0,1,2,0
02203,8,1,6,0,3,0,4,0,3,0,0,0,0,0,3,0
02446,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02026,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
02188,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0
